source,timestamp,severity,ip,dest_ip,threat_type,details,category
Suricata IDS,2015-03-29T11:01:38.221126-0600,HIGH,222.186.56.46,192.168.0.2,IDS Alert,ET SCAN Potential SSH Scan,Attempted Information Leak
Suricata IDS,2015-03-26T18:49:46.900254-0600,HIGH,192.168.0.54,157.56.114.104,IDS Alert,ET CHAT Skype VOIP Checking Version (Startup),Potential Corporate Privacy Violation
Suricata IDS,2015-03-17T02:18:37.430733-0600,HIGH,54.235.163.229,192.168.0.2,IDS Alert,ET TROJAN HackerDefender Root Kit Remote Connection Attempt Detected,A Network Trojan was detected
Suricata IDS,2015-03-26T18:49:46.900254-0600,HIGH,192.168.0.54,157.56.114.104,IDS Alert,ET CHAT Skype User-Agent detected,Potential Corporate Privacy Violation
Suricata IDS,2015-03-17T02:14:59.130726-0600,HIGH,54.235.163.229,192.168.0.2,IDS Alert,ET SCAN Nessus User Agent,Attempted Information Leak
Suricata IDS,2015-04-08T20:17:04.944268-0600,HIGH,66.135.38.206,192.168.0.2,IDS Alert,ET POLICY POSSIBLE Web Crawl using Wget,Attempted Information Leak
Suricata IDS,2015-03-25T04:07:53.803407-0600,HIGH,104.246.96.148,192.168.0.54,IDS Alert,ET P2P Edonkey Publicize File ACK,Potential Corporate Privacy Violation
Suricata IDS,2015-03-29T15:48:42.619797-0600,HIGH,118.98.104.21,192.168.0.2,IDS Alert,ET SCAN PHP Attack Tool Morfeus F Scanner,Web Application Attack
Suricata IDS,2015-03-27T08:39:59.187544-0600,HIGH,222.66.95.253,192.168.0.2,IDS Alert,ET POLICY Incoming Basic Auth Base64 HTTP Password detected unencrypted,Potential Corporate Privacy Violation
Suricata IDS,2015-03-17T02:20:50.387912-0600,HIGH,54.235.163.229,192.168.0.2,IDS Alert,ET WEB_SERVER Possible SQL Injection Attempt SELECT FROM,Web Application Attack
Suricata IDS,2015-03-17T02:20:50.387912-0600,HIGH,54.235.163.229,192.168.0.2,IDS Alert,ET WEB_SERVER Possible SQL Injection Attempt UNION SELECT,Web Application Attack
Suricata IDS,2015-03-17T02:19:32.181409-0600,HIGH,54.235.163.229,192.168.0.2,IDS Alert,ET POLICY External Unencrypted Connection to BASE Console,Misc activity
Suricata IDS,2015-03-17T02:14:52.077598-0600,HIGH,54.235.163.229,192.168.0.2,IDS Alert,ET WEB_SERVER cmd.exe In URI - Possible Command Execution Attempt,Attempted Information Leak
Suricata IDS,2015-03-17T02:11:37.268765-0600,HIGH,67.207.202.9,192.168.0.2,IDS Alert,ET WEB_SERVER /system32/ in Uri - Possible Protected Directory Access Attempt,Attempted Information Leak
Suricata IDS,2015-03-17T02:08:47.669112-0600,HIGH,67.207.202.9,192.168.0.2,IDS Alert,ET WEB_SERVER Script tag in URI Possible Cross Site Scripting Attempt,Web Application Attack
Suricata IDS,2015-03-17T02:08:48.199768-0600,HIGH,67.207.202.9,192.168.0.2,IDS Alert,ET WEB_SERVER Onmouseover= in URI - Likely Cross Site Scripting Attempt,Web Application Attack
Suricata IDS,2015-04-07T21:27:02.538121-0600,HIGH,217.172.189.243,192.168.0.53,IDS Alert,ET TROJAN Possible Windows executable sent when remote host claims to send html content,A Network Trojan was detected
Suricata IDS,2015-03-17T02:16:47.658262-0600,HIGH,54.235.163.229,192.168.0.2,IDS Alert,ET POLICY Proxy TRACE Request - inbound,Potentially Bad Traffic
Suricata IDS,2015-03-29T04:41:19.304641-0600,HIGH,188.165.22.205,192.168.0.2,IDS Alert,ET WEB_SERVER DFind w00tw00t GET-Requests,Attempted Information Leak
Suricata IDS,2015-03-18T03:57:23.552511-0600,HIGH,192.168.0.54,173.252.107.17,IDS Alert,ET CHAT Facebook Chat using XMPP,Potential Corporate Privacy Violation
Suricata IDS,2015-03-16T04:36:19.575414-0600,HIGH,217.195.49.103,192.168.0.2,IDS Alert,ET WEB_SERVER Exploit Suspected PHP Injection Attack (cmd=),Web Application Attack
Suricata IDS,2015-03-17T02:20:50.387912-0600,HIGH,54.235.163.229,192.168.0.2,IDS Alert,ET WEB_SERVER SELECT USER SQL Injection Attempt in URI,Web Application Attack
Suricata IDS,2015-03-17T02:23:48.747931-0600,HIGH,54.235.163.229,192.168.0.2,IDS Alert,ET WEB_SERVER Possible Attempt to Get SQL Server Version in URI using SELECT VERSION,Web Application Attack
Suricata IDS,2015-03-17T02:24:13.735876-0600,HIGH,54.235.163.229,192.168.0.2,IDS Alert,ET WEB_SERVER MYSQL SELECT CONCAT SQL Injection Attempt,Web Application Attack
Suricata IDS,2015-03-17T02:07:42.709433-0600,HIGH,67.207.202.9,192.168.0.2,IDS Alert,ET WEB_SERVER PHP Easteregg Information-Disclosure (phpinfo),Attempted Information Leak
Suricata IDS,2015-03-18T03:04:09.840955-0600,HIGH,95.199.31.163,192.168.0.2,IDS Alert,ET WEB_SERVER PHP Easteregg Information-Disclosure (php-logo),Attempted Information Leak
Suricata IDS,2015-03-18T03:04:09.876117-0600,HIGH,95.199.31.163,192.168.0.2,IDS Alert,ET WEB_SERVER PHP Easteregg Information-Disclosure (zend-logo),Attempted Information Leak
Suricata IDS,2015-03-17T02:59:18.784347-0600,HIGH,192.168.0.54,198.61.250.104,IDS Alert,ET POLICY User-Agent (NSIS_Inetc (Mozilla)) - Sometimes used by hostile installers,A Network Trojan was detected
Suricata IDS,2015-03-12T06:48:50.494938-0600,HIGH,217.195.49.146,192.168.0.2,IDS Alert,ET WEB_SERVER /bin/sh In URI Possible Shell Command Execution Attempt,Web Application Attack
Suricata IDS,2015-03-17T02:23:48.373044-0600,HIGH,54.235.163.229,192.168.0.2,IDS Alert,ET WEB_SERVER PHP tags in HTTP POST,Web Application Attack
Suricata IDS,2015-03-17T02:05:59.726084-0600,HIGH,83.170.87.175,192.168.0.51,IDS Alert,ET WEB_CLIENT Hex Obfuscation of document.write % Encoding,Potentially Bad Traffic
Suricata IDS,2015-03-17T02:12:19.019728-0600,HIGH,67.207.202.9,192.168.0.2,IDS Alert,ET WEB_SERVER Likely Malicious Request for /proc/self/environ,Web Application Attack
Suricata IDS,2015-03-26T18:41:15.745972-0600,HIGH,108.160.162.76,192.168.0.54,IDS Alert,ET POLICY Dropbox.com Offsite File Backup in Use,Potential Corporate Privacy Violation
Suricata IDS,2015-03-26T18:00:38.783776-0600,HIGH,192.168.0.54,255.255.255.255,IDS Alert,ET POLICY Dropbox Client Broadcasting,Potential Corporate Privacy Violation
Suricata IDS,2015-04-07T16:50:31.282953-0600,HIGH,192.168.0.53,46.108.156.146,IDS Alert,ET POLICY HTTP Request to a *.tk domain,Potentially Bad Traffic
Suricata IDS,2015-03-17T02:24:33.206788-0600,HIGH,54.235.163.229,192.168.0.2,IDS Alert,ET WEB_SERVER PHP Possible php Remote File Inclusion Attempt,Web Application Attack
Suricata IDS,2015-03-17T02:02:51.918214-0600,HIGH,192.168.0.51,90.236.3.35,IDS Alert,ET POLICY curl User-Agent Outbound,Attempted Information Leak
Suricata IDS,2015-03-15T18:51:00.593869-0600,HIGH,192.168.0.54,107.21.127.37,IDS Alert,ET POLICY Python-urllib/ Suspicious User Agent,Attempted Information Leak
Suricata IDS,2015-03-26T11:02:13.489701-0600,HIGH,69.197.148.92,192.168.0.2,IDS Alert,ET WEB_SERVER Muieblackcat scanner,Attempted Information Leak
Suricata IDS,2015-03-13T05:36:39.267969-0600,HIGH,54.230.98.75,192.168.0.54,IDS Alert,ET POLICY Executable served from Amazon S3,Potentially Bad Traffic
Suricata IDS,2015-03-17T02:23:40.759816-0600,HIGH,54.235.163.229,192.168.0.2,IDS Alert,ET SCAN Apache mod_deflate DoS via many multiple byte Range values,Attempted Denial of Service
Suricata IDS,2015-03-20T05:11:59.452110-0600,HIGH,192.168.0.51,130.239.18.165,IDS Alert,ET POLICY GNU/Linux APT User-Agent Outbound likely related to package management,Not Suspicious Traffic
Suricata IDS,2015-03-27T05:28:09.071834-0600,HIGH,192.168.0.2,88.150.173.218,IDS Alert,ET POLICY GNU/Linux YUM User-Agent Outbound likely related to package management,Potential Corporate Privacy Violation
Suricata IDS,2015-04-08T20:16:47.145163-0600,HIGH,66.135.38.206,192.168.0.2,IDS Alert,ET TROJAN Double HTTP/1.1 Header Inbound - Likely Hostile Traffic,Potentially Bad Traffic
